name,pic_link
无间道 無間道,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
放牛班的春天 Les choristes,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
疯狂动物城 Zootopia,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
控方证人 Witness for the Prosecution,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
机器人总动员 WALL·E,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
忠犬八公的故事 Hachi: A Dog's Tale,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
楚门的世界 The Truman Show,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
三傻大闹宝莱坞 3 Idiots,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
星际穿越 Interstellar,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
海上钢琴师 La leggenda del pianista sull'oceano,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
千与千寻 千と千尋の神隠し,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单 Schindler's List,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
美丽人生 La vita è bella,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
这个杀手不太冷 Léon,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
泰坦尼克号 Titanic,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
盗梦空间 Inception,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
阿甘正传 Forrest Gump,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
肖申克的救赎 The Shawshank Redemption,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
